Data e hora,Pressão - PC 52 (mca),Pressao - PM D52 (mca),Vazao (L/s),Ano,Mes,Dia,Dia da Semana,Horario,Turno,Estacao
2021-03-11T01:15:00Z,8.5,8.9,181.831298828125,2021,3,11,Quinta,01:15:00,Madrugada,Verao
2021-03-11T01:30:00Z,8.9,9.3,158.74430847168,2021,3,11,Quinta,01:30:00,Madrugada,Verao
2021-03-11T01:45:00Z,9.3,9.7,99.0167236328125,2021,3,11,Quinta,01:45:00,Madrugada,Verao
2021-03-11T02:00:00Z,9.7,10.2,169.502212524414,2021,3,11,Quinta,02:00:00,Madrugada,Verao
2021-03-11T02:15:00Z,10.2,10.7,65.3633117675781,2021,3,11,Quinta,02:15:00,Madrugada,Verao
2021-03-11T02:30:00Z,10.5,10.9,131.588348388672,2021,3,11,Quinta,02:30:00,Madrugada,Verao
2021-03-11T02:45:00Z,10.8,11.4,138.897476196289,2021,3,11,Quinta,02:45:00,Madrugada,Verao
2021-03-11T03:00:00Z,11.4,11.8,109.897407531738,2021,3,11,Quinta,03:00:00,Madrugada,Verao
2021-03-11T03:15:00Z,11.7,12.2,133.340927124023,2021,3,11,Quinta,03:15:00,Madrugada,Verao
2021-03-11T03:30:00Z,11.9,12.6,86.212516784668,2021,3,11,Quinta,03:30:00,Madrugada,Verao
2021-03-11T03:45:00Z,12.2,13,87.7259216308594,2021,3,11,Quinta,03:45:00,Madrugada,Verao
2021-03-11T04:00:00Z,12.4,13.1,66.2295608520508,2021,3,11,Quinta,04:00:00,Madrugada,Verao
2021-03-11T04:15:00Z,12.5,13.4,79.3510131835938,2021,3,11,Quinta,04:15:00,Madrugada,Verao
2021-03-11T04:30:00Z,12.9,13.8,66.228889465332,2021,3,11,Quinta,04:30:00,Madrugada,Verao
2021-03-11T04:45:00Z,12.7,14.1,71.9470596313477,2021,3,11,Quinta,04:45:00,Madrugada,Verao
2021-03-11T05:00:00Z,12.6,14.2,88.5002136230469,2021,3,11,Quinta,05:00:00,Madrugada,Verao
2021-03-11T05:15:00Z,11.9,14,99.974983215332,2021,3,11,Quinta,05:15:00,Madrugada,Verao
2021-03-11T05:30:00Z,10.6,13.8,178.582916259766,2021,3,11,Quinta,05:30:00,Madrugada,Verao
2021-03-11T05:45:00Z,11,11.9,181.830291748047,2021,3,11,Quinta,05:45:00,Madrugada,Verao
2021-03-11T06:00:00Z,10.3,11.8,153.85627746582,2021,3,11,Quinta,06:00:00,Manha,Verao
2021-03-11T06:15:00Z,9.4,11.9,101.014518737793,2021,3,11,Quinta,06:15:00,Manha,Verao
2021-03-11T06:30:00Z,11.2,11.2,204.181076049805,2021,3,11,Quinta,06:30:00,Manha,Verao
2021-03-11T06:45:00Z,12.6,10.6,178.577072143555,2021,3,11,Quinta,06:45:00,Manha,Verao
2021-03-11T07:00:00Z,12.2,14,217.431411743164,2021,3,11,Quinta,07:00:00,Manha,Verao
2021-03-11T07:15:00Z,11.5,14,208.343139648438,2021,3,11,Quinta,07:15:00,Manha,Verao
2021-03-11T07:30:00Z,10.7,13.7,222.1318359375,2021,3,11,Quinta,07:30:00,Manha,Verao
2021-03-11T07:45:00Z,9.7,13.1,212.779220581055,2021,3,11,Quinta,07:45:00,Manha,Verao
2021-03-11T08:00:00Z,8.7,12.1,232.572006225586,2021,3,11,Quinta,08:00:00,Manha,Verao
2021-03-11T08:15:00Z,7.7,10.9,199.886535644531,2021,3,11,Quinta,08:15:00,Manha,Verao
2021-03-11T08:30:00Z,7.1,9.5,222.229766845703,2021,3,11,Quinta,08:30:00,Manha,Verao
2021-03-11T08:45:00Z,6.3,8.9,199.990234375,2021,3,11,Quinta,08:45:00,Manha,Verao
2021-03-11T09:00:00Z,6.2,8.3,227.288803100586,2021,3,11,Quinta,09:00:00,Manha,Verao
2021-03-11T09:15:00Z,5.7,7.8,227.288803100586,2021,3,11,Quinta,09:15:00,Manha,Verao
2021-03-11T09:30:00Z,5.3,7.9,200.013427734375,2021,3,11,Quinta,09:30:00,Manha,Verao
2021-03-11T09:45:00Z,4.8,7.3,108.70092010498,2021,3,11,Quinta,09:45:00,Manha,Verao
2021-03-11T10:00:00Z,4.5,6.6,232.687606811523,2021,3,11,Quinta,10:00:00,Manha,Verao
2021-03-11T10:15:00Z,3.7,6.3,199.870697021484,2021,3,11,Quinta,10:15:00,Manha,Verao
2021-03-11T10:30:00Z,3.5,5.4,217.399673461914,2021,3,11,Quinta,10:30:00,Manha,Verao
